datasetID,site,scale,taxa,area,Raw_spatial_grain,Raw_spatial_grain_unit
207,1,1,Plant,0.2,0.8,m2
207,2,1,Plant,0.2,0.8,m2
207,3,1,Plant,0.2,0.8,m2
207,4,1,Plant,0.2,0.8,m2
207,Toolik_1,2,Plant,0.8,0.8,m2
207,Toolik_2,2,Plant,0.8,0.8,m2
207,Toolik_3,2,Plant,0.8,0.8,m2
207,Toolik_4,2,Plant,0.8,0.8,m2
208,CF,1,Invertebrate,210,1,m2
208,DF,1,Invertebrate,210,1,m2
208,SF,1,Invertebrate,210,1,m2
208,T1,1,Invertebrate,210,1,m2
208,T2,1,Invertebrate,210,1,m2
208,T3,1,Invertebrate,210,1,m2
208,T4,1,Invertebrate,210,1,m2
208,T5,1,Invertebrate,210,1,m2
208,T6,1,Invertebrate,210,1,m2
208,T7,1,Invertebrate,210,1,m2
208,1_CF,2,Invertebrate,30,1,m2
208,1_DF,2,Invertebrate,30,1,m2
208,1_SF,2,Invertebrate,30,1,m2
208,1_T1,2,Invertebrate,30,1,m2
208,1_T2,2,Invertebrate,30,1,m2
208,1_T3,2,Invertebrate,30,1,m2
208,1_T4,2,Invertebrate,30,1,m2
208,1_T5,2,Invertebrate,30,1,m2
208,1_T6,2,Invertebrate,30,1,m2
208,1_T7,2,Invertebrate,30,1,m2
208,2_CF,2,Invertebrate,30,1,m2
208,2_DF,2,Invertebrate,30,1,m2
208,2_SF,2,Invertebrate,30,1,m2
208,2_T1,2,Invertebrate,30,1,m2
208,2_T2,2,Invertebrate,30,1,m2
208,2_T3,2,Invertebrate,30,1,m2
208,2_T4,2,Invertebrate,30,1,m2
208,2_T5,2,Invertebrate,30,1,m2
208,2_T6,2,Invertebrate,30,1,m2
208,2_T7,2,Invertebrate,30,1,m2
208,3_CF,2,Invertebrate,30,1,m2
208,3_DF,2,Invertebrate,30,1,m2
208,3_SF,2,Invertebrate,30,1,m2
208,3_T1,2,Invertebrate,30,1,m2
208,3_T2,2,Invertebrate,30,1,m2
208,3_T3,2,Invertebrate,30,1,m2
208,3_T4,2,Invertebrate,30,1,m2
208,3_T5,2,Invertebrate,30,1,m2
208,3_T6,2,Invertebrate,30,1,m2
208,3_T7,2,Invertebrate,30,1,m2
208,4_T1,2,Invertebrate,30,1,m2
208,4_T2,2,Invertebrate,30,1,m2
208,4_T4,2,Invertebrate,30,1,m2
208,4_T5,2,Invertebrate,30,1,m2
208,4_T6,2,Invertebrate,30,1,m2
208,4_T7,2,Invertebrate,30,1,m2
208,5_T1,2,Invertebrate,30,1,m2
208,5_T2,2,Invertebrate,30,1,m2
208,5_T3,2,Invertebrate,30,1,m2
208,5_T4,2,Invertebrate,30,1,m2
208,5_T5,2,Invertebrate,30,1,m2
208,5_T6,2,Invertebrate,30,1,m2
208,5_T7,2,Invertebrate,30,1,m2
208,6_T1,2,Invertebrate,30,1,m2
208,6_T2,2,Invertebrate,30,1,m2
208,6_T3,2,Invertebrate,30,1,m2
